Airport_ID,Name,Country,Latitude,Longtitude,Altitude
GKA,Goroka Airport,Papua New Guinea,-6.081689834590001,145.391998291,5282
MAG,Madang Airport,Papua New Guinea,-5.20707988739,145.789001465,20
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,-5.826789855957031,144.29600524902344,5388
LAE,Nadzab Airport,Papua New Guinea,-6.569803,146.725977,239
POM,Port Moresby Jacksons International Airport,Papua New Guinea,-9.44338035583496,147.22000122070312,146
WWK,Wewak International Airport,Papua New Guinea,-3.58383011818,143.669006348,19
UAK,Narsarsuaq Airport,Greenland,61.1604995728,-45.4259986877,112
GOH,Godthaab / Nuuk Airport,Greenland,64.19090271,-51.6781005859,283
SFJ,Kangerlussuaq Airport,Greenland,67.0122218992,-50.7116031647,165
THU,Thule Air Base,Greenland,76.5311965942,-68.7032012939,251
AEY,Akureyri Airport,Iceland,65.66000366210938,-18.07270050048828,6
EGS,Egilsstaðir Airport,Iceland,65.2833023071289,-14.401399612426758,76
HFN,Hornafjörður Airport,Iceland,64.295601,-15.2272,24
HZK,Húsavík Airport,Iceland,65.952301,-17.426001,48
IFJ,Ísafjörður Airport,Iceland,66.05809783935547,-23.135299682617188,8
KEF,Keflavik International Airport,Iceland,63.985000610352,-22.605600357056,171
PFJ,Patreksfjörður Airport,Iceland,65.555801,-23.965,11
RKV,Reykjavik Airport,Iceland,64.1299972534,-21.9405994415,48
SIJ,Siglufjörður Airport,Iceland,66.133301,-18.9167,10
VEY,Vestmannaeyjar Airport,Iceland,63.42430114746094,-20.27890014648437,326
YAM,Sault Ste Marie Airport,Canada,46.48500061035156,-84.5093994140625,630
YAY,St. Anthony Airport,Canada,51.3918991089,-56.083099365200006,108
YAZ,Tofino / Long Beach Airport,Canada,49.079833,-125.775583,80
YBB,Kugaaruk Airport,Canada,68.534401,-89.808098,56
YBC,Baie Comeau Airport,Canada,49.13249969482422,-68.20439910888672,71
YBG,CFB Bagotville,Canada,48.33060073852539,-70.99639892578125,522
YBK,Baker Lake Airport,Canada,64.29889678960001,-96.077796936,59
YBL,Campbell River Airport,Canada,49.950801849365234,-125.27100372314452,346
YBR,Brandon Municipal Airport,Canada,49.91,-99.951897,1343
YCB,Cambridge Bay Airport,Canada,69.1081008911,-105.138000488,90
YCD,Nanaimo Airport,Canada,49.0549702249,-123.869862556,92
YCG,Castlegar/West Kootenay Regional Airport,Canada,49.2963981628,-117.632003784,1624
YCH,Miramichi Airport,Canada,47.007801,-65.449203,108
YCL,Charlo Airport,Canada,47.990799,-66.330299,132
YCO,Kugluktuk Airport,Canada,67.816704,-115.143997,74
YCT,Coronation Airport,Canada,52.0750007629,-111.444999695,2595
YCW,Chilliwack Airport,Canada,49.1528015137,-121.939002991,32
YCY,Clyde River Airport,Canada,70.4860992432,-68.5167007446,87
YZS,Coral Harbour Airport,Canada,64.1932983398,-83.3593978882,210
YDA,Dawson City Airport,Canada,64.04309844970703,-139.1280059814453,1215
YDB,Burwash Airport,Canada,61.37110137939453,-139.04100036621094,2647
YDF,Deer Lake Airport,Canada,49.21080017089844,-57.39139938354492,72
YDL,Dease Lake Airport,Canada,58.4221992493,-130.031997681,2600
YDN,Dauphin Barker Airport,Canada,51.10079956054688,-100.052001953125,999
YDQ,Dawson Creek Airport,Canada,55.7422981262207,-120.18299865722656,2148
YEG,Edmonton International Airport,Canada,53.3097000122,-113.580001831,2373
YEK,Arviat Airport,Canada,61.0942001343,-94.0708007812,32
YEN,Estevan Airport,Canada,49.2103004456,-102.966003418,1905
YET,Edson Airport,Canada,53.5788993835,-116.464996338,3043
YEU,Eureka Airport,Canada,79.9946975708,-85.814201355,256
YEV,Inuvik Mike Zubko Airport,Canada,68.30419921880001,-133.483001709,224
YFB,Iqaluit Airport,Canada,63.756402,-68.555801,110
YFC,Fredericton Airport,Canada,45.868900299072266,-66.53720092773438,68
YFE,Forestville Airport,Canada,48.74610137939453,-69.09719848632812,293
YFO,Flin Flon Airport,Canada,54.6781005859375,-101.68199920654295,997
YFR,Fort Resolution Airport,Canada,61.1808013916,-113.690002441,526
YFS,Fort Simpson Airport,Canada,61.76020050048828,-121.23699951171876,555
YGK,Kingston Norman Rogers Airport,Canada,44.22529983520508,-76.5969009399414,305
YGL,La Grande Rivière Airport,Canada,53.625301361083984,-77.7042007446289,639
YGP,Gaspé (Michel-Pouliot) Airport,Canada,48.7752990723,-64.4785995483,112
YGQ,Geraldton Greenstone Regional Airport,Canada,49.77830123901367,-86.93939971923828,1144
YGR,Îles-de-la-Madeleine Airport,Canada,47.42470169067383,-61.778099060058594,35
YHB,Hudson Bay Airport,Canada,52.8166999817,-102.310997009,1175
YHD,Dryden Regional Airport,Canada,49.831699,-92.744202,1354
YHI,Ulukhaktok Holman Airport,Canada,70.76280212402344,-117.80599975585938,117
YHK,Gjoa Haven Airport,Canada,68.635597229,-95.8497009277,152
YHM,John C. Munro Hamilton International Airport,Canada,43.1735992432,-79.93499755859999,780
YHU,Montréal / Saint-Hubert Airport,Canada,45.5175018311,-73.4169006348,90
YHY,Hay River / Merlyn Carter Airport,Canada,60.8396987915,-115.782997131,541
YHZ,Halifax / Stanfield International Airport,Canada,44.8807983398,-63.5085983276,477
YIB,Atikokan Municipal Airport,Canada,48.7738990784,-91.6386032104,1408
YIO,Pond Inlet Airport,Canada,72.6832962036,-77.9666976929,181
YJN,St Jean Airport,Canada,45.29439926147461,-73.28109741210938,136
YJT,Stephenville Airport,Canada,48.5442008972168,-58.54999923706055,84
YKA,Kamloops Airport,Canada,50.7022018433,-120.444000244,1133
YKF,Waterloo Airport,Canada,43.4608001709,-80.3786010742,1055
YKL,Schefferville Airport,Canada,54.805301666259766,-66.8052978515625,1709
YKY,Kindersley Airport,Canada,51.5175018311,-109.180999756,2277
YKZ,Buttonville Municipal Airport,Canada,43.86220169067383,-79.37000274658203,650
YLD,Chapleau Airport,Canada,47.81999969482422,-83.3467025756836,1470
YLJ,Meadow Lake Airport,Canada,54.125301361083984,-108.52300262451172,1576
YLL,Lloydminster Airport,Canada,53.309200286865234,-110.072998046875,2193
YLT,Alert Airport,Canada,82.51779937740001,-62.2806015015,100
YLW,Kelowna International Airport,Canada,49.9561004639,-119.377998352,1421
YMA,Mayo Airport,Canada,63.61640167236328,-135.8679962158203,1653
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Canada,50.330299377441406,-105.55899810791016,1892
YMM,Fort McMurray Airport,Canada,56.653301239,-111.222000122,1211
YMO,Moosonee Airport,Canada,51.29109954833984,-80.60780334472656,30
YMW,Maniwaki Airport,Canada,46.2728004456,-75.9906005859,656
YMX,Montreal International (Mirabel) Airport,Canada,45.679501,-74.038696,270
YNA,Natashquan Airport,Canada,50.18999862670898,-61.78919982910156,39
YND,Ottawa / Gatineau Airport,Canada,45.5217018127,-75.5635986328,211
YNM,Matagami Airport,Canada,49.76169967651367,-77.80280303955078,918
YOC,Old Crow Airport,Canada,67.57060241699219,-139.83900451660156,824
YOD,CFB Cold Lake,Canada,54.40499877929688,-110.27899932861328,1775
YOJ,High Level Airport,Canada,58.62139892578125,-117.16500091552734,1110
YOW,Ottawa Macdonald-Cartier International Airport,Canada,45.3224983215332,-75.66919708251953,374
YPA,Prince Albert Glass Field,Canada,53.2141990662,-105.672996521,1405
YPE,Peace River Airport,Canada,56.226898,-117.446999,1873
YPG,Southport Airport,Canada,49.903099,-98.273817,885
YPL,Pickle Lake Airport,Canada,51.4463996887207,-90.21420288085938,1267
YPN,Port Menier Airport,Canada,49.83639907836914,-64.2885971069336,167
YPQ,Peterborough Airport,Canada,44.22999954223633,-78.36329650878906,628
YPR,Prince Rupert Airport,Canada,54.2860984802,-130.445007324,116
YPY,Fort Chipewyan Airport,Canada,58.7672004699707,-111.11699676513672,761
YQA,Muskoka Airport,Canada,44.974700927734375,-79.30329895019531,925
YQB,Quebec Jean Lesage International Airport,Canada,46.7911,-71.393303,244
YQF,Red Deer Regional Airport,Canada,52.18220138549805,-113.8939971923828,2968
YQG,Windsor Airport,Canada,42.27560043334961,-82.95559692382812,622
YQH,Watson Lake Airport,Canada,60.11640167236328,-128.82200622558594,2255
YQK,Kenora Airport,Canada,49.78829956054688,-94.36309814453124,1332
YQL,Lethbridge County Airport,Canada,49.6302986145,-112.800003052,3048
YQM,Greater Moncton International Airport,Canada,46.11220169067383,-64.67859649658203,232
YQQ,Comox Airport,Canada,49.71080017089844,-124.88700103759766,84
YQR,Regina International Airport,Canada,50.43190002441406,-104.66600036621094,1894
YQT,Thunder Bay Airport,Canada,48.37189865112305,-89.32389831542969,653
YQU,Grande Prairie Airport,Canada,55.1796989441,-118.885002136,2195
YQV,Yorkton Municipal Airport,Canada,51.26470184326172,-102.46199798583984,1635
YQW,North Battleford Airport,Canada,52.76919937133789,-108.24400329589844,1799
YQX,Gander International Airport,Canada,48.9369010925293,-54.56809997558594,496
YQY,Sydney / J.A. Douglas McCurdy Airport,Canada,46.1614,-60.047798,203
YQZ,Quesnel Airport,Canada,53.026100158691406,-122.51000213623048,1789
YRB,Resolute Bay Airport,Canada,74.7169036865,-94.9693984985,215
YRI,Rivière-du-Loup Airport,Canada,47.76440048217773,-69.58470153808594,427
YRJ,Roberval Airport,Canada,48.52000045776367,-72.2656021118164,586
YRM,Rocky Mountain House Airport,Canada,52.4296989441,-114.903999329,3244
YRT,Rankin Inlet Airport,Canada,62.8114013672,-92.1157989502,94
YSB,Sudbury Airport,Canada,46.625,-80.79889678955078,1141
YSC,Sherbrooke Airport,Canada,45.4385986328125,-71.69139862060547,792
YSJ,Saint John Airport,Canada,45.31610107421875,-65.89029693603516,357
YSM,Fort Smith Airport,Canada,60.020301818847656,-111.96199798583984,671
YSR,Nanisivik Airport,Canada,72.982201,-84.613602,2106
YSU,Summerside Airport,Canada,46.44060134887695,-63.83359909057617,56
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,71.9938964844,-125.242996216,282
