Airport_ID_start,Airport_ID_end,Route_ID
AYP,LIM,AYP-LIM
CUZ,LIM,CUZ-LIM
CUZ,PEM,CUZ-PEM
HUU,LIM,HUU-LIM
IQT,PCL,IQT-PCL
IQT,TPP,IQT-TPP
LIM,AYP,LIM-AYP
LIM,CUZ,LIM-CUZ
LIM,HUU,LIM-HUU
LIM,PCL,LIM-PCL
LIM,TPP,LIM-TPP
PCL,IQT,PCL-IQT
PCL,LIM,PCL-LIM
PCL,TPP,PCL-TPP
PEM,CUZ,PEM-CUZ
TPP,IQT,TPP-IQT
TPP,LIM,TPP-LIM
TPP,PCL,TPP-PCL
ACC,OUA,ACC-OUA
BKO,DKR,BKO-DKR
BKO,OUA,BKO-OUA
BOY,OUA,BOY-OUA
COO,LFW,COO-LFW
COO,OUA,COO-OUA
DKR,BKO,DKR-BKO
DKR,OUA,DKR-OUA
LFW,OUA,LFW-OUA
NIM,OUA,NIM-OUA
OUA,ACC,OUA-ACC
OUA,BKO,OUA-BKO
OUA,BOY,OUA-BOY
OUA,COO,OUA-COO
OUA,DKR,OUA-DKR
OUA,LFW,OUA-LFW
OUA,NIM,OUA-NIM
BOG,GYE,BOG-GYE
BOG,UIO,BOG-UIO
CLO,GYE,CLO-GYE
GYE,BOG,GYE-BOG
GYE,CLO,GYE-CLO
GYE,SCY,GYE-SCY
GYE,UIO,GYE-UIO
OCC,UIO,OCC-UIO
SCY,GYE,SCY-GYE
UIO,BOG,UIO-BOG
UIO,GYE,UIO-GYE
UIO,OCC,UIO-OCC
BDS,ZRH,BDS-ZRH
BOD,ZRH,BOD-ZRH
BRS,ZRH,BRS-ZRH
GVA,LPA,GVA-LPA
LCA,ZRH,LCA-ZRH
LPA,ZRH,LPA-ZRH
RMF,ZRH,RMF-ZRH
TFS,GVA,TFS-GVA
ZRH,BDS,ZRH-BDS
ZRH,BOD,ZRH-BOD
ZRH,BRS,ZRH-BRS
ZRH,LCA,ZRH-LCA
ZRH,LPA,ZRH-LPA
ZRH,RMF,ZRH-RMF
AJR,LYC,AJR-LYC
ARN,GEV,ARN-GEV
ARN,HAD,ARN-HAD
ARN,JKG,ARN-JKG
ARN,KRF,ARN-KRF
ARN,KSD,ARN-KSD
ARN,LYC,ARN-LYC
ARN,MHQ,ARN-MHQ
ARN,OER,ARN-OER
ARN,POR,ARN-POR
ARN,TRF,ARN-TRF
ARN,VBY,ARN-VBY
ARN,VHM,ARN-VHM
ARN,VXO,ARN-VXO
GEV,ARN,GEV-ARN
GEV,KRF,GEV-KRF
HAD,ARN,HAD-ARN
HAD,JKG,HAD-JKG
HAD,VXO,HAD-VXO
HMV,VHM,HMV-VHM
JKG,ARN,JKG-ARN
JKG,HAD,JKG-HAD
KOK,POR,KOK-POR
KRF,ARN,KRF-ARN
KRF,GEV,KRF-GEV
KSD,ARN,KSD-ARN
LYC,AJR,LYC-AJR
LYC,ARN,LYC-ARN
MHQ,ARN,MHQ-ARN
MHQ,TKU,MHQ-TKU
OER,ARN,OER-ARN
OSL,VXO,OSL-VXO
POR,ARN,POR-ARN
POR,KOK,POR-KOK
TKU,MHQ,TKU-MHQ
TRF,ARN,TRF-ARN
VBY,ARN,VBY-ARN
VHM,ARN,VHM-ARN
VHM,HMV,VHM-HMV
VXO,ARN,VXO-ARN
VXO,OSL,VXO-OSL
ADQ,KLN,ADQ-KLN
KLN,KYK,KLN-KYK
BSO,MNL,BSO-MNL
BXU,MNL,BXU-MNL
CBO,MNL,CBO-MNL
CGY,MNL,CGY-MNL
CRM,MNL,CRM-MNL
DGT,MNL,DGT-MNL
DWC,MNL,DWC-MNL
GES,MNL,GES-MNL
KLO,MNL,KLO-MNL
LGP,MNL,LGP-MNL
MNL,BSO,MNL-BSO
MNL,BXU,MNL-BXU
MNL,CBO,MNL-CBO
MNL,CGY,MNL-CGY
MNL,CRM,MNL-CRM
MNL,DGT,MNL-DGT
MNL,DWC,MNL-DWC
MNL,GES,MNL-GES
MNL,KLO,MNL-KLO
MNL,LGP,MNL-LGP
MNL,MPH,MNL-MPH
MNL,OZC,MNL-OZC
MNL,PPS,MNL-PPS
MNL,RXS,MNL-RXS
MNL,SUG,MNL-SUG
MNL,TUG,MNL-TUG
MNL,ZAM,MNL-ZAM
MPH,MNL,MPH-MNL
OZC,MNL,OZC-MNL
PPS,MNL,PPS-MNL
RXS,MNL,RXS-MNL
SUG,MNL,SUG-MNL
TUG,MNL,TUG-MNL
ZAM,MNL,ZAM-MNL
AUX,PMW,AUX-PMW
BRA,BSB,BRA-BSB
BRA,SSA,BRA-SSA
BSB,BRA,BSB-BRA
BSB,OPS,BSB-OPS
BSB,RAO,BSB-RAO
CAC,GRU,CAC-GRU
CGB,GYN,CGB-GYN
CGB,OPS,CGB-OPS
CGR,DOU,CGR-DOU
DOU,CGR,DOU-CGR
DOU,GRU,DOU-GRU
GIG,RAO,GIG-RAO
GRU,CAC,GRU-CAC
GRU,DOU,GRU-DOU
GRU,RAO,GRU-RAO
GRU,UBA,GRU-UBA
GRU,UDI,GRU-UDI
GRU,VDC,GRU-VDC
GYN,CGB,GYN-CGB
GYN,PMW,GYN-PMW
GYN,RAO,GYN-RAO
GYN,UDI,GYN-UDI
OPS,BSB,OPS-BSB
OPS,CGB,OPS-CGB
PLU,RAO,PLU-RAO
PMW,AUX,PMW-AUX
PMW,GYN,PMW-GYN
RAO,BSB,RAO-BSB
RAO,GIG,RAO-GIG
RAO,GRU,RAO-GRU
RAO,GYN,RAO-GYN
RAO,PLU,RAO-PLU
RAO,SJP,RAO-SJP
RAO,UDI,RAO-UDI
SJP,RAO,SJP-RAO
SSA,BRA,SSA-BRA
SSA,VDC,SSA-VDC
UBA,GRU,UBA-GRU
UBA,UDI,UBA-UDI
UDI,GRU,UDI-GRU
UDI,GYN,UDI-GYN
UDI,RAO,UDI-RAO
UDI,UBA,UDI-UBA
VDC,GRU,VDC-GRU
VDC,SSA,VDC-SSA
BRL,ORD,BRL-ORD
BRL,STL,BRL-STL
DEC,ORD,DEC-ORD
DEC,STL,DEC-STL
JBR,STL,JBR-STL
ORD,BRL,ORD-BRL
ORD,DEC,ORD-DEC
STL,BRL,STL-BRL
STL,DEC,STL-DEC
STL,JBR,STL-JBR
KTN,MTM,KTN-MTM
MTM,KTN,MTM-KTN
ACC,DKR,ACC-DKR
ACC,LOS,ACC-LOS
ACC,ROB,ACC-ROB
CKY,OXB,CKY-OXB
DKR,ACC,DKR-ACC
DKR,DLA,DKR-DLA
DKR,FNA,DKR-FNA
DKR,LOS,DKR-LOS
DKR,OXB,DKR-OXB
DLA,DKR,DLA-DKR
DLA,LOS,DLA-LOS
FNA,DKR,FNA-DKR
FNA,LGW,FNA-LGW
