Airport_ID,Name,Country_ID,geom
GKA,Goroka Airport,Papua New Guinea,01010000C0DAFDFF3F8B2C624037EBFF7FA65318C00000000000A2B4400000000000000000
MAG,Madang Airport,Papua New Guinea,01010000C07A1500803F39624066FFFFBF0CD414C000000000000034400000000000000000
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,01010000C0000000E07809624000000000A24E17C000000000000CB5400000000000000000
LAE,Nadzab Airport,Papua New Guinea,01010000C0BE141E343B57624098A608707A471AC00000000000E06D400000000000000000
POM,Port Moresby Jacksons International Airport,Papua New Guinea,01010000C0000000400A676240FFFFFFBF02E322C000000000004062400000000000000000
WWK,Wewak International Airport,Papua New Guinea,01010000C03F2F008068F56140F8050020AFAB0CC000000000000033400000000000000000
UAK,Narsarsuaq Airport,Greenland,01010000C0BCE7FF1F87B646C0571900408B944E400000000000005C400000000000000000
GOH,Godthaab / Nuuk Airport,Greenland,01010000C062EBFFFFCBD649C0BD0A00C0370C50400000000000B071400000000000000000
SFJ,Kangerlussuaq Airport,Greenland,01010000C0ED0E00D0155B49C0FA565C3EC8C050400000000000A064400000000000000000
THU,Thule Air Base,Greenland,01010000C08BF3FF3F012D51C07AF5FF1FFF2153400000000000606F400000000000000000
AEY,Akureyri Airport,Iceland,01010000C0000000809C1232C0000000803D6A504000000000000018400000000000000000
EGS,Egilsstaðir Airport,Iceland,01010000C00000004084CD2CC0000000A02152504000000000000053400000000000000000
HFN,Hornafjörður Airport,Iceland,01010000C06A4DF38E53742EC08EEA7420EB12504000000000000038400000000000000000
HZK,Húsavík Airport,Iceland,01010000C03410CB660E6D31C0AEBCE47FF27C504000000000000048400000000000000000
IFJ,Ísafjörður Airport,Iceland,01010000C000000000A32237C0000000E0B783504000000000000020400000000000000000
KEF,Keflavik International Airport,Iceland,01010000C05F0000A0089B36C03E00008014FE4F4000000000006065400000000000000000
PFJ,Patreksfjörður Airport,Iceland,01010000C0D7A3703D0AF737C062855B3E9263504000000000000026400000000000000000
RKV,Reykjavik Airport,Iceland,01010000C0DDE0FF1FCBF035C010FBFFDF5108504000000000000048400000000000000000
SIJ,Siglufjörður Airport,Iceland,01010000C0423EE8D9ACEA32C08BE1EA008888504000000000000024400000000000000000
VEY,Vestmannaeyjar Airport,Iceland,01010000C0FFFFFFFF654734C0000000804FB64F4000000000006074400000000000000000
YAM,Sault Ste Marie Airport,Canada,01010000C0000000009A2055C000000080143E47400000000000B083400000000000000000
YAY,St. Anthony Airport,Canada,01010000C01BEDFFFFA20A4CC04D0700C029B249400000000000005B400000000000000000
