Route_ID,Airport_ID_start,Airport_ID_end,geom
AYP-LIM,AYP,LIM,010200000002000000000000E0148D52C000000000424F2AC03C31EBC5504753C097900F7A360B28C0
CUZ-LIM,CUZ,LIM,0102000000020000002908004015FC51C03157004047122BC03C31EBC5504753C097900F7A360B28C0
CUZ-PEM,CUZ,PEM,0102000000020000002908004015FC51C03157004047122BC00CF5FF5FA14E51C053D0FFBF293A29C0
HUU-LIM,HUU,LIM,010200000002000000000000801B0D53C001000060F3C123C03C31EBC5504753C097900F7A360B28C0
IQT-PCL,IQT,PCL,01020000000200000000000060C35352C0000000C025470EC000000060C1A452C00000006081C120C0
IQT-TPP,IQT,TPP,01020000000200000000000060C35352C0000000C025470EC000000080E21753C000000020F3081AC0
LIM-AYP,LIM,AYP,0102000000020000003C31EBC5504753C097900F7A360B28C0000000E0148D52C000000000424F2AC0
LIM-CUZ,LIM,CUZ,0102000000020000003C31EBC5504753C097900F7A360B28C02908004015FC51C03157004047122BC0
LIM-HUU,LIM,HUU,0102000000020000003C31EBC5504753C097900F7A360B28C0000000801B0D53C001000060F3C123C0
LIM-PCL,LIM,PCL,0102000000020000003C31EBC5504753C097900F7A360B28C000000060C1A452C00000006081C120C0
LIM-TPP,LIM,TPP,0102000000020000003C31EBC5504753C097900F7A360B28C000000080E21753C000000020F3081AC0
PCL-IQT,PCL,IQT,01020000000200000000000060C1A452C00000006081C120C000000060C35352C0000000C025470EC0
PCL-LIM,PCL,LIM,01020000000200000000000060C1A452C00000006081C120C03C31EBC5504753C097900F7A360B28C0
PCL-TPP,PCL,TPP,01020000000200000000000060C1A452C00000006081C120C000000080E21753C000000020F3081AC0
PEM-CUZ,PEM,CUZ,0102000000020000000CF5FF5FA14E51C053D0FFBF293A29C02908004015FC51C03157004047122BC0
TPP-IQT,TPP,IQT,01020000000200000000000080E21753C000000020F3081AC000000060C35352C0000000C025470EC0
TPP-LIM,TPP,LIM,01020000000200000000000080E21753C000000020F3081AC03C31EBC5504753C097900F7A360B28C0
TPP-PCL,TPP,PCL,01020000000200000000000080E21753C000000020F3081AC000000060C1A452C00000006081C120C0
ACC-OUA,ACC,OUA,010200000002000000FFFFFF5F3E59C5BF000000E0B66B1640A60F5D50DF32F8BFF7E461A1D6B42840
BKO-DKR,BKO,DKR,01020000000200000022A64412BDCC1FC0FED478E926112940000000C07D7D31C000000000BA7A2D40
BKO-OUA,BKO,OUA,01020000000200000022A64412BDCC1FC0FED478E926112940A60F5D50DF32F8BFF7E461A1D6B42840
BOY-OUA,BOY,OUA,010200000002000000000000C0E95211C0000000A0F8512640A60F5D50DF32F8BFF7E461A1D6B42840
COO-LFW,COO,LFW,0102000000020000000000002026130340000000C0CD6D1940000000207912F43F000000A095A91840
COO-OUA,COO,OUA,0102000000020000000000002026130340000000C0CD6D1940A60F5D50DF32F8BFF7E461A1D6B42840
DKR-BKO,DKR,BKO,010200000002000000000000C07D7D31C000000000BA7A2D4022A64412BDCC1FC0FED478E926112940
DKR-OUA,DKR,OUA,010200000002000000000000C07D7D31C000000000BA7A2D40A60F5D50DF32F8BFF7E461A1D6B42840
LFW-OUA,LFW,OUA,010200000002000000000000207912F43F000000A095A91840A60F5D50DF32F8BFF7E461A1D6B42840
NIM-OUA,NIM,OUA,0102000000020000009CBF0985087801404A0C022B87F62A40A60F5D50DF32F8BFF7E461A1D6B42840
OUA-ACC,OUA,ACC,010200000002000000A60F5D50DF32F8BFF7E461A1D6B42840FFFFFF5F3E59C5BF000000E0B66B1640
OUA-BKO,OUA,BKO,010200000002000000A60F5D50DF32F8BFF7E461A1D6B4284022A64412BDCC1FC0FED478E926112940
OUA-BOY,OUA,BOY,010200000002000000A60F5D50DF32F8BFF7E461A1D6B42840000000C0E95211C0000000A0F8512640
OUA-COO,OUA,COO,010200000002000000A60F5D50DF32F8BFF7E461A1D6B428400000002026130340000000C0CD6D1940
OUA-DKR,OUA,DKR,010200000002000000A60F5D50DF32F8BFF7E461A1D6B42840000000C07D7D31C000000000BA7A2D40
OUA-LFW,OUA,LFW,010200000002000000A60F5D50DF32F8BFF7E461A1D6B42840000000207912F43F000000A095A91840
OUA-NIM,OUA,NIM,010200000002000000A60F5D50DF32F8BFF7E461A1D6B428409CBF0985087801404A0C022B87F62A40
BOG-GYE,BOG,GYE,01020000000200000013F241CF668952C075CDE49B6DCE1240E9F5FFDF8CF853C0A9140060654201C0
BOG-UIO,BOG,UIO,01020000000200000013F241CF668952C075CDE49B6DCE12407B14AE47E19653C072B788888888C0BF
CLO-GYE,CLO,GYE,010200000002000000D50968226C1853C0D44334BA83580C40E9F5FFDF8CF853C0A9140060654201C0
GYE-BOG,GYE,BOG,010200000002000000E9F5FFDF8CF853C0A9140060654201C013F241CF668952C075CDE49B6DCE1240
GYE-CLO,GYE,CLO,010200000002000000E9F5FFDF8CF853C0A9140060654201C0D50968226C1853C0D44334BA83580C40
GYE-SCY,GYE,SCY,010200000002000000E9F5FFDF8CF853C0A9140060654201C022E17B7F836756C06BEF53556820EDBF
GYE-UIO,GYE,UIO,010200000002000000E9F5FFDF8CF853C0A9140060654201C07B14AE47E19653C072B788888888C0BF
OCC-UIO,OCC,UIO,010200000002000000000000C0273F53C0000000A0EC9FDDBF7B14AE47E19653C072B788888888C0BF
SCY-GYE,SCY,GYE,01020000000200000022E17B7F836756C06BEF53556820EDBFE9F5FFDF8CF853C0A9140060654201C0
UIO-BOG,UIO,BOG,0102000000020000007B14AE47E19653C072B788888888C0BF13F241CF668952C075CDE49B6DCE1240
UIO-GYE,UIO,GYE,0102000000020000007B14AE47E19653C072B788888888C0BFE9F5FFDF8CF853C0A9140060654201C0
UIO-OCC,UIO,OCC,0102000000020000007B14AE47E19653C072B788888888C0BF000000C0273F53C0000000A0EC9FDDBF
BDS-ZRH,BDS,ZRH,010200000002000000804754A86EF23140C0EC9E3C2C5444407EE36BCF2C192140F1BDBF417BBB4740
BOD-ZRH,BOD,ZRH,010200000002000000AEFDFFBFD5E5E6BF2C0E00C0056A46407EE36BCF2C192140F1BDBF417BBB4740
BRS-ZRH,BRS,ZRH,0102000000020000008D0B0742B2C005C0910E0F61FCB049407EE36BCF2C192140F1BDBF417BBB4740
GVA-LPA,GVA,LPA,010200000002000000000000A0906F1840000000007A1E474000000060F0C52EC00000000091EE3B40
LCA-ZRH,LCA,ZRH,010200000002000000000000C0FCCF404000000040037041407EE36BCF2C192140F1BDBF417BBB4740
LPA-ZRH,LPA,ZRH,01020000000200000000000060F0C52EC00000000091EE3B407EE36BCF2C192140F1BDBF417BBB4740
RMF-ZRH,RMF,ZRH,01020000000200000035FDFF9FB64A414074E9FF1F9E8E39407EE36BCF2C192140F1BDBF417BBB4740
TFS-GVA,TFS,GVA,010200000002000000F91300608F9230C09D340060640B3C40000000A0906F1840000000007A1E4740
ZRH-BDS,ZRH,BDS,0102000000020000007EE36BCF2C192140F1BDBF417BBB4740804754A86EF23140C0EC9E3C2C544440
ZRH-BOD,ZRH,BOD,0102000000020000007EE36BCF2C192140F1BDBF417BBB4740AEFDFFBFD5E5E6BF2C0E00C0056A4640
ZRH-BRS,ZRH,BRS,0102000000020000007EE36BCF2C192140F1BDBF417BBB47408D0B0742B2C005C0910E0F61FCB04940
ZRH-LCA,ZRH,LCA,0102000000020000007EE36BCF2C192140F1BDBF417BBB4740000000C0FCCF40400000004003704140
ZRH-LPA,ZRH,LPA,0102000000020000007EE36BCF2C192140F1BDBF417BBB474000000060F0C52EC00000000091EE3B40
ZRH-RMF,ZRH,RMF,0102000000020000007EE36BCF2C192140F1BDBF417BBB474035FDFF9FB64A414074E9FF1F9E8E3940
AJR-LYC,AJR,LYC,010200000002000000000000A02A48334000000080C7655040000000E058B732400000006017235040
ARN-GEV,ARN,GEV,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40000000A089D034400000004079C85040
ARN-HAD,ARN,HAD,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D4000000040F1A329400000000076584C40
ARN-JKG,ARN,JKG,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40FFFFFF9F2C232C4000000000F9E04C40
ARN-KRF,ARN,KRF,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40000000A0D6C431400000008038864F40
ARN-KSD,ARN,KSD,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40FEFCFFBFBFAC2A40E2E9FFDFEBB84D40
ARN-LYC,ARN,LYC,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40000000E058B732400000006017235040
ARN-MHQ,ARN,MHQ,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D401D000060F0E53340FCFFFF3FA40F4E40
ARN-OER,ARN,OER,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40000000A070FD32400000002043B44F40
ARN-POR,ARN,POR,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40800000C0CCCC3540EEFFFFFF18BB4E40
ARN-TRF,ARN,TRF,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D4036200040678424402C0E00C0E5974D40
ARN-VBY,ARN,VBY,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40D2FFFF9FA0583240F5FFFF9FD6D44C40
ARN-VHM,ARN,VHM,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D40000000C066D530400000000010255040
ARN-VXO,ARN,VXO,0102000000020000007EFFFF5F29EB3140E6FFFF7F71D34D4000000060BC742D40FFFFFFBFEC764C40
GEV-ARN,GEV,ARN,010200000002000000000000A089D034400000004079C850407EFFFF5F29EB3140E6FFFF7F71D34D40
GEV-KRF,GEV,KRF,010200000002000000000000A089D034400000004079C85040000000A0D6C431400000008038864F40
HAD-ARN,HAD,ARN,01020000000200000000000040F1A329400000000076584C407EFFFF5F29EB3140E6FFFF7F71D34D40
HAD-JKG,HAD,JKG,01020000000200000000000040F1A329400000000076584C40FFFFFF9F2C232C4000000000F9E04C40
HAD-VXO,HAD,VXO,01020000000200000000000040F1A329400000000076584C4000000060BC742D40FFFFFFBFEC764C40
HMV-VHM,HMV,VHM,010200000002000000000000C0642A2E400000002097735040000000C066D530400000000010255040
JKG-ARN,JKG,ARN,010200000002000000FFFFFF9F2C232C4000000000F9E04C407EFFFF5F29EB3140E6FFFF7F71D34D40
JKG-HAD,JKG,HAD,010200000002000000FFFFFF9F2C232C4000000000F9E04C4000000040F1A329400000000076584C40
KOK-POR,KOK,POR,01020000000200000092FFFF3FA22437404200004050DC4F40800000C0CCCC3540EEFFFFFF18BB4E40
KRF-ARN,KRF,ARN,010200000002000000000000A0D6C431400000008038864F407EFFFF5F29EB3140E6FFFF7F71D34D40
KRF-GEV,KRF,GEV,010200000002000000000000A0D6C431400000008038864F40000000A089D034400000004079C85040
KSD-ARN,KSD,ARN,010200000002000000FEFCFFBFBFAC2A40E2E9FFDFEBB84D407EFFFF5F29EB3140E6FFFF7F71D34D40
LYC-AJR,LYC,AJR,010200000002000000000000E058B732400000006017235040000000A02A48334000000080C7655040
LYC-ARN,LYC,ARN,010200000002000000000000E058B7324000000060172350407EFFFF5F29EB3140E6FFFF7F71D34D40
MHQ-ARN,MHQ,ARN,0102000000020000001D000060F0E53340FCFFFF3FA40F4E407EFFFF5F29EB3140E6FFFF7F71D34D40
MHQ-TKU,MHQ,TKU,0102000000020000001D000060F0E53340FCFFFF3FA40F4E40370000E04643364023000000CE414E40
OER-ARN,OER,ARN,010200000002000000000000A070FD32400000002043B44F407EFFFF5F29EB3140E6FFFF7F71D34D40
OSL-VXO,OSL,VXO,010200000002000000B6847CD0B3192640736891ED7C0F4E4000000060BC742D40FFFFFFBFEC764C40
POR-ARN,POR,ARN,010200000002000000800000C0CCCC3540EEFFFFFF18BB4E407EFFFF5F29EB3140E6FFFF7F71D34D40
POR-KOK,POR,KOK,010200000002000000800000C0CCCC3540EEFFFFFF18BB4E4092FFFF3FA22437404200004050DC4F40
TKU-MHQ,TKU,MHQ,010200000002000000370000E04643364023000000CE414E401D000060F0E53340FCFFFF3FA40F4E40
TRF-ARN,TRF,ARN,01020000000200000036200040678424402C0E00C0E5974D407EFFFF5F29EB3140E6FFFF7F71D34D40
VBY-ARN,VBY,ARN,010200000002000000D2FFFF9FA0583240F5FFFF9FD6D44C407EFFFF5F29EB3140E6FFFF7F71D34D40
VHM-ARN,VHM,ARN,010200000002000000000000C066D5304000000000102550407EFFFF5F29EB3140E6FFFF7F71D34D40
VHM-HMV,VHM,HMV,010200000002000000000000C066D530400000000010255040000000C0642A2E400000002097735040
VXO-ARN,VXO,ARN,01020000000200000000000060BC742D40FFFFFFBFEC764C407EFFFF5F29EB3140E6FFFF7F71D34D40
VXO-OSL,VXO,OSL,01020000000200000000000060BC742D40FFFFFFBFEC764C40B6847CD0B3192640736891ED7C0F4E40
ADQ-KLN,ADQ,KLN,010200000002000000B73302E0CE0F63C00000000000E04C4061E8FFBF4B3F63C074E9FF1F7EC44C40
KLN-KYK,KLN,KYK,01020000000200000061E8FFBF4B3F63C074E9FF1F7EC44C40B7DEFF5F664E63C0B6FEFFBF96C84C40
BSO-MNL,BSO,MNL,010200000002000000D7BE805EB87E5E404FAF94658873344029417FA147415E40BF7D1D3867042D40
BXU-MNL,BXU,MNL,010200000002000000CA54C1A8A45E5F40BA490C022BE7214029417FA147415E40BF7D1D3867042D40
CBO-MNL,CBO,MNL,010200000002000000000000A0700D5F40010000A034A91C4029417FA147415E40BF7D1D3867042D40
